TriMAP2,TriMAP1
28.767689,-32.261303
-1.8891605,29.490702
40.25551,-39.30869
-21.88196,-9.779825
12.2956295,-11.589166
17.165009,8.68627
5.584702,-0.6877881
-19.832817,-8.182148
12.340339,-4.9610324
-3.4183917,9.849455
-21.19928,34.843163
-7.6684246,8.169155
-48.30159,13.12549
-10.938002,-19.856367
-10.635862,-11.110295
11.686029,-4.1319666
24.793373,29.221897
-1.6207627,32.132298
18.062716000000002,11.878447
-13.889207,-29.662905
18.798008,-5.975641
-20.69743,-9.218237
-2.2891133,22.669237
5.3188457,7.740973
28.366339,-8.88264
-36.58707,6.1874876
3.8798113,6.7909045
29.502861,-9.159598
14.433735,2.718715
-33.206394,-18.355793
-2.6319723,16.082691
-10.783668,-10.703789
18.482203,-23.674065
5.052516,7.566287
11.758346,-7.996855
17.193209,8.670525
3.9920123,6.8248224
-28.614542,-14.255735
-10.917882,-20.393255
-37.2137,6.463351
-13.507842,-31.13772
29.154552,36.441032
-1.8802497,3.6900098
-27.69832,-13.7149105
-21.952543,39.455093
-32.18644,-17.164812
-2.3605058,24.724073
-2.7792418,16.169313
17.076609,-5.642563
-11.896681,-5.9306607
-2.070678,22.672676
9.586969,10.553575
-48.763676,13.112583
-22.155407,37.900772
22.396538,24.819284
-42.19121,-26.807676
46.080982,-12.372792
-3.6318536,8.658729
12.021978,-4.9423623
44.075066,-11.716901
-35.248405,5.6677685
31.598358,-35.130455
29.315153,10.059367
